FA,GGBS,SF,MK,FA.1,CA,Molarity,NaOH,Na2SiO3,Water,F_V (vol%),F_D,F_L,F_M,days,Tem,Com
377.307,52.058,0.296,18.56,278.774,1162.364,15.581,100.683,150.764,4.815,0.013,0.0,0.981,0.0,8.223,22.531,35.898
552.462,101.684,15.016,6.854,693.077,713.43,13.955,112.177,175.163,26.715,0.011,0.0,3.367,0.0,6.874,21.134,28.182
469.792,87.521,1.656,35.92,531.169,1111.934,15.784,83.538,195.212,8.293,0.0,0.0,1.232,0.0,99.193,23.003,52.59
271.964,187.448,0.0,0.0,662.152,1246.082,10.749,73.1,137.893,8.108,0.014,0.0,0.763,0.0,48.656,22.26,41.746
366.031,126.567,0.0,0.0,511.151,1201.605,10.071,77.008,135.867,4.604,0.008,0.0,0.507,0.0,22.641,21.479,37.81
304.65,260.897,12.494,16.921,653.56,727.493,14.869,95.145,211.481,7.243,0.019,0.0,1.865,0.0,73.967,22.903,62.113
439.102,124.602,0.0,17.15,1136.766,399.186,10.296,102.156,218.811,0.0,0.513,0.004,3.938,17.075,35.048,23.467,43.558
278.67,183.71,4.201,10.432,770.024,1046.014,11.254,68.602,157.77,18.12,0.031,0.093,1.73,0.0,64.566,22.664,46.835
418.179,232.269,15.286,0.0,1184.655,68.531,12.189,118.68,253.05,98.167,0.855,0.323,13.057,93.128,14.221,26.057,46.059
135.634,133.74,0.0,256.468,514.643,1170.911,12.38,110.054,181.893,5.925,0.0,0.0,0.009,0.0,3.264,19.908,31.134
318.97,181.414,2.288,0.0,736.608,754.953,6.17,82.486,147.052,7.848,0.016,0.0,2.524,0.0,7.821,20.111,33.807
471.841,50.259,0.0,0.0,387.302,1390.864,12.334,70.201,130.057,5.179,0.104,0.0,0.0,0.0,15.701,22.333,32.299
167.47,413.906,21.211,192.721,602.951,463.551,13.163,150.155,207.82,14.333,0.0,0.277,2.201,0.0,15.495,21.689,63.146
715.791,750.856,130.41,5.749,88.485,733.995,12.247,235.911,444.908,134.498,1.876,0.0,32.125,228.67,34.985,21.947,133.928
309.082,158.284,0.0,24.529,766.476,1007.264,12.626,80.365,171.335,3.368,0.038,0.0,1.195,0.0,75.534,23.278,48.035
346.314,141.726,0.0,34.951,602.661,928.044,12.029,97.173,196.444,27.672,0.192,0.39,2.794,0.0,24.906,25.045,45.341
283.509,237.974,0.0,0.0,927.226,770.671,12.852,97.345,178.961,0.0,0.249,0.139,1.525,0.0,26.12,20.775,50.799
486.069,448.519,41.234,20.305,791.067,158.7,12.408,163.567,322.526,169.625,0.846,0.0,17.852,127.109,22.808,22.205,71.424
315.722,164.717,0.0,24.29,714.828,1259.554,11.866,78.309,164.776,10.718,0.03,0.0,1.544,0.0,85.896,25.869,50.888
436.359,186.55,0.0,0.0,1305.328,64.439,12.465,109.402,254.595,0.0,0.675,0.0,10.155,19.816,19.639,21.498,37.779
580.871,104.01,0.0,0.0,272.054,1348.34,10.257,156.978,286.31,11.696,0.51,0.869,45.221,227.996,14.434,19.696,38.268
464.072,86.294,0.895,0.0,415.92,1023.526,14.032,109.572,150.519,18.606,0.029,0.056,1.346,0.0,0.0,21.87,29.737
222.99,164.847,0.0,386.196,375.323,785.179,12.727,178.12,292.456,13.682,0.019,0.253,3.33,0.0,15.37,20.296,43.784
263.452,301.619,21.209,2.246,776.46,727.606,10.91,104.635,220.32,6.161,0.328,0.018,8.955,42.902,18.543,21.934,59.104
291.798,224.593,0.0,32.713,897.212,545.738,13.553,103.011,228.981,9.503,0.353,0.0,2.185,0.0,34.859,23.908,46.835
548.795,52.274,2.654,3.107,498.632,922.032,15.696,92.693,139.651,22.862,0.0,0.0,0.0,0.0,12.236,22.618,30.164
824.323,874.659,209.581,0.0,508.071,0.0,11.164,274.968,380.108,173.648,0.665,0.0,0.0,0.0,43.895,23.006,121.654
335.601,123.003,0.0,0.0,664.554,1203.97,10.532,66.989,157.373,11.252,0.113,0.16,0.477,0.0,43.958,22.624,42.783
743.634,436.159,97.844,0.0,453.102,548.016,11.482,223.803,377.858,106.234,0.808,0.271,29.039,174.912,26.339,20.989,81.221
388.742,141.128,0.0,0.0,564.103,1123.148,9.442,96.175,220.912,0.0,0.152,0.215,18.523,102.376,8.659,18.627,31.499
320.189,140.718,10.035,0.0,860.179,872.043,11.71,88.316,183.727,0.0,0.0,0.0,1.425,0.0,30.583,19.812,41.285
253.174,231.776,0.0,0.0,709.597,888.759,9.097,81.693,162.662,26.819,0.0,0.213,0.0,0.0,22.882,22.095,38.917
326.688,144.835,0.0,24.644,833.07,900.595,12.445,71.306,178.374,0.0,0.0,0.0,0.508,0.0,60.002,23.298,46.53
408.922,130.968,0.0,15.922,1217.169,345.953,10.91,93.891,230.957,0.0,0.381,0.028,1.157,0.0,22.625,23.962,42.948
344.881,111.119,0.0,0.0,949.19,787.863,12.471,80.102,170.991,0.0,0.134,0.0,0.657,0.0,25.918,21.53,39.185
305.02,107.683,0.0,0.597,377.731,1402.795,15.16,83.588,126.091,0.0,0.0,0.0,0.265,0.0,22.737,22.326,38.084
431.964,126.392,0.673,29.944,973.672,731.595,10.365,91.643,183.84,0.0,0.177,0.0,0.346,0.0,16.034,22.959,38.168
39.761,760.61,17.398,306.33,636.413,67.12,14.998,168.733,268.234,26.227,0.0,0.0,0.0,0.0,59.465,19.62,100.141
357.446,114.632,0.0,0.228,656.592,1183.104,12.951,76.097,175.228,1.488,0.014,0.0,0.61,2.594,85.383,22.334,49.341
593.223,168.805,0.0,0.0,1338.354,0.0,13.277,86.224,176.648,94.409,0.168,0.0,1.131,0.0,6.131,22.612,22.922
848.389,154.655,0.0,0.0,0.0,2186.591,8.112,240.579,439.527,0.154,0.793,1.181,67.338,319.236,18.345,16.391,33.885
474.342,139.145,0.0,38.252,666.388,907.274,9.656,77.694,156.138,19.26,0.135,0.0,0.207,0.0,17.341,23.195,37.467
544.288,117.22,0.0,0.0,624.515,694.157,13.147,118.851,173.496,53.716,0.0,0.131,0.0,0.0,0.0,21.833,22.772
556.66,61.089,0.0,54.687,568.365,919.536,14.615,85.894,157.263,43.69,0.07,0.041,2.83,0.0,60.463,25.394,42.922
443.406,139.947,0.0,4.889,1180.882,131.827,12.631,104.851,251.257,30.55,0.471,0.0,5.498,17.763,5.643,23.946,29.831
498.431,233.136,48.448,0.0,927.668,75.487,12.604,127.96,171.615,103.353,0.179,0.0,0.0,0.0,17.595,25.075,43.033
393.744,108.156,0.0,15.781,539.353,1055.662,13.107,82.062,175.386,1.02,0.112,0.0,1.226,0.0,69.062,21.622,48.898
501.848,529.201,23.856,262.405,519.927,354.368,10.689,212.893,417.312,11.557,0.405,0.415,23.726,125.719,19.434,17.541,85.03
230.898,182.853,0.0,0.0,569.938,1227.526,11.894,70.461,127.221,10.073,0.0,0.0,0.694,0.0,28.109,22.606,40.288
411.16,189.154,11.466,27.267,1006.449,344.576,10.738,100.769,199.611,75.198,0.07,0.0,3.665,11.736,15.564,22.144,33.929
319.899,253.061,0.0,7.196,1087.752,203.212,10.186,107.29,209.261,7.754,0.427,0.082,1.844,0.492,35.736,22.15,54.204
500.906,126.995,6.728,0.0,960.176,515.31,10.866,84.882,129.25,106.69,0.119,0.0,1.267,0.0,0.0,24.03,18.11
307.373,104.569,0.47,9.74,584.838,1218.377,10.848,67.206,142.028,0.949,0.082,0.0,0.793,0.0,21.95,23.201,37.045
635.801,319.68,35.888,0.962,418.079,932.5,10.227,185.936,376.383,69.66,0.58,0.546,42.292,248.723,25.518,19.502,75.26
223.581,287.907,0.0,4.993,751.344,840.262,6.836,91.866,152.514,0.12,0.044,0.0,0.675,0.0,42.679,21.099,52.416
523.169,71.617,0.0,0.0,532.863,754.57,15.099,82.441,115.095,55.214,0.03,0.122,0.0,0.0,0.0,21.042,27.324
471.748,99.299,2.749,25.715,650.554,834.74,16.148,93.902,208.059,20.86,0.018,0.0,0.783,0.0,100.467,23.116,53.777
455.648,107.451,0.0,0.0,991.973,441.394,12.714,83.581,167.767,48.98,0.0,0.0,1.735,0.0,12.635,23.199,28.923
290.248,242.241,3.609,0.0,693.878,954.402,11.667,87.362,170.202,22.308,0.0,0.0,0.0,0.0,24.231,23.021,43.602
126.978,96.55,0.0,772.128,284.117,587.891,13.514,206.031,340.664,33.097,0.0,0.0,1.39,0.0,15.113,23.065,38.801
282.876,537.7,15.644,0.0,1225.639,0.0,13.013,145.766,312.659,8.064,1.159,0.074,2.795,6.486,27.513,24.607,87.053
333.39,124.72,4.18,72.425,563.308,841.943,13.036,105.753,155.455,33.962,0.101,0.0,0.851,0.0,5.852,22.417,35.615
360.566,368.48,20.58,34.266,838.633,729.239,14.103,85.707,209.187,99.701,0.097,0.0,0.0,0.0,90.565,26.257,66.896
386.47,395.589,21.516,24.725,1056.383,318.644,12.015,93.22,177.127,166.968,0.06,0.0,0.0,0.0,31.652,25.062,51.689
1057.415,768.592,157.943,0.0,0.0,411.37,9.31,342.945,621.772,54.468,3.22,0.811,39.031,167.126,55.525,22.136,139.866
424.516,157.915,4.589,0.0,973.853,396.43,10.862,125.008,275.858,0.0,0.961,0.119,19.882,87.033,9.523,22.168,37.299
345.053,112.165,1.446,3.097,807.269,1021.027,12.485,79.967,185.611,4.638,0.024,0.001,0.903,0.0,42.015,22.647,44.736
397.334,413.968,38.083,31.626,989.32,0.0,13.771,125.339,239.322,132.17,0.481,0.0,0.0,0.0,31.278,23.183,67.244
360.721,140.994,0.0,22.587,959.817,696.743,9.746,79.505,177.756,0.0,0.168,0.0,0.962,0.0,24.867,21.882,41.538
458.298,126.979,3.162,32.37,578.235,1068.357,14.516,86.384,173.624,24.38,0.119,0.0,0.393,0.0,92.468,22.224,48.402
386.044,106.109,0.0,28.423,760.85,958.948,11.6,80.827,185.8,4.351,0.074,0.0,0.825,0.0,80.755,23.078,47.749
354.04,210.535,2.379,47.361,875.301,525.638,13.194,97.023,202.221,19.086,0.096,0.0,1.187,0.0,71.36,23.273,50.284
190.098,906.532,37.904,41.629,896.232,0.0,14.646,155.291,320.698,120.213,0.373,0.0,0.0,15.063,47.257,21.266,128.001
328.985,138.333,0.0,49.465,720.8,1164.67,6.351,62.895,133.829,0.0,0.0,0.0,0.0,0.0,108.266,21.894,49.925
533.05,84.434,1.6,24.771,869.483,734.664,13.781,95.414,179.807,0.0,0.163,0.0,2.001,0.0,14.239,22.694,38.813
418.841,141.064,0.0,214.108,452.781,735.242,10.821,168.195,322.252,7.022,0.173,0.748,17.099,35.561,0.0,21.183,27.309
409.864,73.88,0.0,0.0,364.023,1397.791,14.951,91.272,149.813,11.279,0.0,0.0,1.708,0.0,40.085,24.093,43.636
344.388,845.771,91.6,0.0,817.319,150.061,13.833,159.799,285.028,146.752,0.58,0.0,0.0,0.0,45.126,23.553,120.794
392.255,130.494,0.083,11.825,545.888,989.688,15.569,84.803,171.738,16.98,0.0,0.0,2.088,0.0,38.105,23.307,43.367
561.037,64.235,0.06,36.229,460.568,1175.139,15.939,100.199,206.496,4.01,0.016,0.0,2.08,0.0,66.832,23.138,47.766
278.954,228.675,9.418,78.612,1117.122,314.8,12.382,97.088,214.096,11.877,0.338,0.213,2.208,7.374,46.185,23.007,54.287
436.007,92.932,0.0,18.362,1100.433,596.327,12.781,88.413,205.948,0.0,0.221,0.0,1.203,0.0,41.932,22.708,41.003
387.781,135.458,0.0,17.415,624.362,968.07,7.496,75.331,145.909,0.0,0.034,0.0,0.0,0.0,14.926,23.587,33.296
294.724,166.375,2.48,0.0,413.458,1037.448,14.994,92.207,131.73,5.687,0.0,0.0,1.604,0.0,26.399,22.979,46.01
371.437,153.396,0.0,16.69,734.768,877.87,6.365,87.411,154.28,8.809,0.017,0.08,6.457,18.048,31.187,22.688,37.45
310.524,170.265,0.0,0.0,786.305,865.214,8.361,80.502,160.374,4.527,0.063,0.003,0.0,0.0,26.511,22.482,40.538
392.451,186.351,0.0,0.0,505.767,1048.143,15.503,98.678,142.402,22.777,0.0,0.0,0.271,0.0,18.997,23.176,40.869
292.336,148.75,0.0,6.023,529.612,1171.466,10.197,67.461,131.478,7.231,0.127,0.001,1.474,0.0,28.071,24.096,44.409
1234.48,418.643,135.007,0.0,95.443,657.107,8.72,301.36,481.932,155.391,0.701,0.702,46.687,233.828,40.842,18.325,66.317
575.394,67.672,1.409,45.749,635.614,800.544,12.189,82.237,126.815,60.672,0.068,0.0,0.13,0.0,19.252,24.782,30.03
408.782,87.491,3.44,12.921,670.556,892.765,11.886,79.844,175.303,0.0,0.015,0.0,0.851,0.0,31.358,22.885,36.216
368.038,112.232,0.0,51.23,1021.991,775.569,10.035,75.768,175.579,0.359,0.171,0.0,1.143,12.019,75.076,22.315,51.01
239.723,228.221,0.0,14.128,785.888,1017.934,7.464,74.556,140.034,4.093,0.0,0.025,0.0,0.0,62.746,21.875,47.433
284.656,239.315,0.0,41.581,621.578,1018.481,11.219,88.455,138.985,26.014,0.018,0.252,0.181,0.0,47.521,24.075,45.843
304.535,199.927,10.437,0.743,1068.559,435.576,12.768,87.731,197.611,0.597,0.253,0.141,2.189,0.196,32.288,24.813,48.541
52.918,813.081,11.499,133.225,807.79,190.091,13.29,128.006,241.155,11.683,0.0,0.0,0.0,0.0,28.433,24.164,97.337
206.742,869.235,65.061,88.024,655.761,0.0,13.554,187.613,297.591,45.484,0.512,0.0,0.0,0.0,34.918,19.001,118.606
456.712,80.667,0.974,11.978,434.665,1276.668,16.18,93.615,175.613,20.955,0.0,0.0,1.062,0.0,61.307,22.235,47.68
254.732,654.904,20.287,0.0,1197.66,0.0,12.569,159.179,330.063,11.321,1.285,0.004,0.756,0.0,26.455,22.742,100.215
363.174,162.912,0.0,18.14,632.236,977.096,5.623,82.192,126.257,0.0,0.079,0.0,0.0,0.0,34.046,23.831,40.204
294.892,195.523,0.0,0.0,795.461,941.011,13.028,78.627,182.25,4.385,0.0,0.0,0.271,0.0,40.128,22.898,45.285
434.513,116.566,4.121,23.139,941.66,651.201,12.27,93.614,193.272,0.0,0.191,0.0,2.632,0.0,33.695,21.355,43.38
275.844,910.88,49.585,349.889,552.143,0.0,13.227,261.571,423.949,19.862,0.633,0.053,0.0,0.0,26.382,21.579,123.59
270.517,285.391,14.756,0.0,695.723,721.684,12.866,111.688,190.204,14.825,0.136,0.008,1.105,0.0,0.0,22.618,47.478
353.265,178.69,4.924,0.0,856.977,731.854,9.62,82.353,163.353,42.735,0.05,0.0,2.54,0.0,9.174,24.087,32.635
108.765,899.596,30.951,36.796,745.026,4.874,13.518,154.755,287.879,75.125,0.16,0.0,0.0,0.0,61.637,23.902,124.645
440.482,140.346,0.0,2.04,911.537,638.179,11.342,97.196,225.726,0.0,0.507,0.208,18.804,89.186,34.267,20.141,44.368
332.133,225.484,0.0,7.599,798.087,693.248,13.243,98.812,191.58,0.0,0.257,0.0,0.824,0.0,20.842,22.497,45.266
418.224,341.918,22.286,15.888,1224.505,0.0,13.69,102.954,260.085,149.49,0.503,0.0,2.498,30.567,29.989,24.174,54.601
291.582,142.683,5.779,18.654,666.475,1155.263,11.871,72.218,148.42,9.68,0.072,0.0,2.584,0.0,52.637,21.559,45.485
380.374,697.626,66.729,57.578,410.616,211.693,13.194,201.225,368.987,69.84,1.403,0.393,19.45,142.512,22.853,20.937,130.439
404.956,142.148,0.0,31.647,615.761,1304.982,10.403,76.425,151.354,8.329,0.236,0.0,0.862,0.0,65.943,24.287,46.355
250.775,883.164,72.392,53.488,810.292,0.0,14.486,161.318,367.184,120.626,1.024,0.0,5.906,81.975,42.592,23.671,132.276
255.444,832.164,42.872,298.874,531.443,0.0,13.759,214.565,352.695,6.078,0.226,0.0,0.0,0.0,32.521,19.887,113.375
465.275,135.86,0.0,13.095,1470.753,0.0,13.315,111.655,270.141,0.0,0.672,0.081,2.027,0.0,39.771,23.222,41.353
161.518,420.704,0.0,8.169,822.106,610.496,12.535,96.738,200.58,15.644,0.146,0.118,0.0,0.0,30.829,21.946,65.897
454.566,133.544,0.0,4.362,1645.917,0.0,11.443,110.479,260.799,0.0,0.766,0.0,2.157,0.0,26.156,21.852,43.266
438.136,87.283,0.466,22.623,837.356,814.259,14.142,88.263,205.63,2.876,0.064,0.0,1.279,0.0,73.035,23.745,43.891
256.996,338.35,8.132,17.263,964.704,510.774,12.388,103.282,230.327,38.478,0.427,0.083,2.901,18.684,24.28,22.997,55.275
391.592,107.736,22.954,42.527,312.934,1138.495,14.671,136.809,156.024,11.021,0.0,0.375,1.354,0.0,0.0,20.715,35.489
133.297,739.208,29.047,125.667,630.132,130.183,14.012,140.889,211.806,29.969,0.016,0.0,0.0,0.0,30.625,21.528,106.097
428.356,115.992,3.002,23.386,993.441,708.034,13.607,85.784,212.663,0.0,0.081,0.0,2.252,0.0,56.159,23.235,46.042
571.835,457.482,49.898,1.015,831.037,138.783,13.502,143.093,321.569,222.997,1.075,0.0,20.965,181.763,35.962,20.766,72.431
227.094,111.874,0.0,0.0,539.251,1326.035,13.276,67.534,127.287,0.629,0.0,0.0,0.779,0.0,19.981,22.431,35.596
212.556,740.653,35.72,28.766,686.521,202.329,15.006,140.769,241.286,33.093,0.275,0.0,0.0,0.0,70.692,19.827,116.09
352.406,272.781,2.074,17.33,1138.571,0.0,13.496,114.62,269.171,9.383,0.896,0.017,3.013,0.0,44.28,24.54,61.329
273.149,140.212,5.659,35.16,529.262,1240.662,13.845,89.934,139.792,11.566,0.0,0.021,0.624,0.0,11.684,22.254,36.233
759.393,434.706,96.286,0.0,429.495,511.784,11.09,205.556,335.476,135.447,0.89,0.272,21.551,122.455,37.558,19.758,75.696
264.002,492.644,0.0,3.062,1266.604,0.0,12.272,144.33,314.396,1.444,1.042,0.302,0.526,0.0,15.63,19.703,73.747
625.425,110.5,5.331,40.337,915.668,253.375,14.804,88.911,171.553,103.684,0.167,0.0,1.192,0.0,14.551,24.985,30.1
719.762,348.583,58.628,32.671,1048.413,147.719,13.739,113.029,173.678,302.85,0.036,0.0,0.0,0.0,48.381,21.554,47.096
488.213,85.874,0.0,6.953,1268.7,405.166,12.605,91.3,220.196,0.0,0.264,0.0,0.0,0.0,0.0,24.528,25.54
397.362,115.975,0.589,3.694,601.25,1110.765,12.272,83.35,174.482,1.634,0.049,0.0,0.716,0.0,26.394,23.0,40.28
456.966,89.39,1.951,39.231,825.727,799.965,13.801,91.224,189.192,46.643,0.056,0.073,0.091,0.0,83.417,24.861,43.145
357.575,550.908,44.783,0.0,988.419,0.0,12.064,158.919,316.148,46.54,1.121,0.0,0.0,0.0,12.135,20.69,82.046
382.16,120.178,7.84,22.83,906.219,839.367,13.143,85.734,204.487,0.0,0.141,0.0,1.5,3.153,72.51,22.957,48.823
537.264,890.844,158.649,31.816,370.641,0.0,12.633,264.466,391.396,27.005,0.479,0.0,0.0,0.0,29.3,21.596,129.6
268.475,251.184,0.329,27.565,512.135,1102.423,14.611,94.73,170.46,3.359,0.0,0.0,1.892,0.0,24.124,21.64,48.061
310.383,146.165,0.0,19.036,663.888,1228.357,10.765,77.385,140.208,0.0,0.0,0.0,0.413,0.0,48.499,22.263,41.314
21.909,736.294,8.499,83.915,701.649,392.841,13.942,128.695,210.961,7.097,0.0,0.0,0.0,0.0,45.579,21.867,98.079
436.824,88.812,3.71,0.0,641.86,1226.58,10.14,99.453,206.865,21.454,0.179,0.449,22.766,141.799,41.715,19.149,37.985
334.294,93.418,2.071,0.0,564.078,1208.366,13.004,75.475,129.842,4.073,0.0,0.0,0.0,0.0,10.819,20.483,32.424
475.901,130.379,11.262,0.0,739.06,756.838,13.825,84.516,109.831,96.272,0.098,0.2,1.84,0.0,10.394,21.541,32.55
213.39,197.249,0.0,0.0,575.948,1328.56,11.694,68.823,132.172,7.044,0.0,0.0,0.259,0.0,50.413,23.169,44.975
261.738,279.946,3.385,3.881,1034.462,561.075,12.568,90.183,199.297,12.133,0.24,0.128,2.053,6.261,53.689,23.309,64.595
310.14,177.445,0.0,4.29,670.887,988.827,5.926,74.647,129.846,0.0,0.147,0.0,0.0,0.0,9.801,22.718,35.945
259.096,132.477,0.0,14.667,543.895,1453.287,13.623,80.029,142.321,4.484,0.086,0.0,1.516,0.0,89.389,21.911,51.775
466.446,52.737,0.0,11.584,421.619,1513.974,14.798,84.539,172.27,0.0,0.0,0.0,1.439,0.0,67.751,22.664,44.271
425.631,70.882,3.261,0.0,438.972,1232.663,15.043,87.904,167.192,10.941,0.13,0.0,0.327,0.0,62.3,23.679,42.909
314.342,171.019,0.063,15.051,774.178,919.326,11.594,78.554,172.103,5.357,0.033,0.0,1.813,0.0,54.656,23.466,43.801
735.11,644.124,117.063,139.019,132.101,263.755,10.619,309.418,494.0,0.0,0.618,0.866,22.952,89.294,19.219,16.773,117.521
771.873,808.652,147.722,0.0,342.72,393.199,11.769,238.648,397.406,177.041,1.012,0.0,15.294,102.464,38.539,21.22,124.058
417.157,163.854,6.769,0.0,829.935,682.574,9.516,102.619,191.226,21.993,0.052,0.184,7.174,10.422,13.386,22.783,34.788
458.497,214.138,2.315,19.568,801.993,510.31,13.881,80.152,152.653,95.151,0.0,0.0,0.0,0.0,14.19,23.374,39.693
411.242,98.413,0.0,0.0,999.456,721.931,13.125,90.307,204.778,0.0,0.255,0.0,0.842,0.0,20.747,22.442,37.56
334.285,163.937,0.0,26.871,570.712,1198.355,10.829,73.319,136.039,6.453,0.133,0.0,1.673,0.0,66.065,25.467,47.705
241.109,963.093,19.278,278.872,604.688,0.0,13.903,195.266,358.051,23.806,0.929,0.0,3.785,37.416,22.128,22.072,127.595
256.276,178.68,0.0,0.0,716.958,933.844,10.979,69.666,154.672,3.608,0.0,0.055,0.965,0.0,41.893,23.671,44.392
404.548,137.041,3.158,0.0,745.171,871.771,12.344,91.137,195.373,12.749,0.087,0.063,3.592,3.621,16.311,21.234,38.467
294.763,224.328,0.0,29.229,887.193,545.516,13.586,90.752,196.763,11.287,0.105,0.126,3.01,2.668,58.188,24.646,53.373
364.471,158.522,6.34,0.0,733.67,850.078,9.509,86.17,174.201,25.94,0.114,0.0,6.247,33.99,20.679,21.915,36.451
507.066,81.997,9.876,37.274,1039.116,398.239,14.504,96.473,230.225,0.0,0.351,0.049,4.6,0.0,25.51,23.878,36.744
514.544,776.247,123.296,0.149,514.796,19.715,12.617,221.716,371.346,62.498,0.759,0.0,4.679,20.486,27.919,18.142,121.853
441.108,233.856,13.6,3.444,1115.701,314.881,12.647,100.529,239.68,130.815,0.131,0.0,4.295,59.935,53.002,23.692,42.637
421.727,65.649,2.338,22.251,655.316,1236.514,14.376,79.788,182.93,0.0,0.0,0.0,2.173,0.0,90.946,23.333,45.797
664.31,216.767,56.483,0.0,347.175,222.738,11.216,220.904,318.16,9.497,0.0,0.366,5.354,0.0,11.502,17.321,23.058
368.337,152.044,7.137,7.738,843.839,732.151,12.725,92.874,203.946,32.162,0.0,0.0,2.425,5.204,87.875,21.251,51.375
423.354,898.559,131.343,56.491,880.461,0.0,12.82,200.878,360.457,116.927,1.651,0.0,0.0,0.0,46.336,21.161,132.658
388.147,127.558,12.16,6.998,640.597,993.652,13.423,89.294,177.48,10.08,0.057,0.042,2.472,0.08,29.017,22.264,46.524
287.565,312.999,0.0,0.0,1216.67,303.347,9.193,116.63,231.397,0.0,0.581,0.313,0.0,0.0,18.513,21.088,53.711
292.447,801.631,63.532,18.809,1048.004,0.0,13.779,185.759,402.403,49.125,1.747,0.0,2.375,29.517,44.011,25.694,132.747
556.974,104.08,2.277,0.0,511.686,584.398,15.37,110.582,188.414,33.408,0.0,0.331,2.372,0.0,8.092,21.357,29.606
468.116,64.674,6.735,0.0,730.238,835.745,13.084,83.887,173.477,1.633,0.0,0.0,0.0,0.0,5.024,20.819,29.308
413.166,110.658,6.537,0.0,1077.621,519.497,13.556,99.28,242.675,0.0,0.47,0.0,2.492,0.0,29.542,21.814,37.925
442.015,46.129,0.0,3.953,522.362,1290.858,14.261,78.863,145.516,6.625,0.0,0.0,0.974,0.0,36.413,22.53,35.804
342.944,512.348,19.928,13.685,1099.771,0.0,13.299,151.484,316.289,17.729,1.702,0.335,10.198,43.596,19.515,24.617,96.925
344.496,267.686,0.0,5.32,1231.99,0.0,11.61,114.451,233.593,37.222,0.623,0.099,1.876,0.0,3.472,22.773,42.083
478.646,474.612,81.925,36.186,819.868,0.0,13.011,150.544,318.315,106.639,0.999,0.0,5.253,40.585,54.956,21.113,91.422
363.062,261.864,7.851,0.0,783.685,565.321,11.14,134.324,259.714,3.7,0.574,0.214,7.798,18.686,4.372,22.372,51.34
310.911,355.203,3.569,544.139,481.515,356.104,12.309,218.377,386.662,29.327,0.008,0.192,4.12,0.0,29.107,20.507,58.212
336.222,171.152,0.0,26.386,747.025,764.489,9.816,87.324,147.399,38.937,0.0,0.177,0.0,0.0,27.498,23.804,36.955
563.166,79.838,0.0,38.406,508.491,1034.805,15.935,98.303,198.719,0.0,0.0,0.0,0.08,0.0,82.018,22.029,50.007
406.29,117.158,0.0,11.679,541.605,1067.752,9.044,69.113,136.085,8.257,0.094,0.0,0.72,0.0,16.373,23.715,34.395
134.792,728.512,17.082,26.579,783.773,340.071,15.686,117.528,257.495,44.197,0.0,0.0,0.0,0.0,107.316,23.564,108.368
529.273,163.477,0.0,0.0,500.611,1199.461,12.256,157.559,310.93,0.0,1.285,0.413,46.577,230.911,18.131,20.424,41.529
